INFO 2025-12-27 01:13:22,413 autoreload 32424 27344 Watching for file changes with StatReloader
INFO 2025-12-27 01:13:33,035 autoreload 32424 27344 C:\Users\yannb\1. Programmation\2. projet - site trading\Trading_app_version4\backend\config_django\settings\development.py changed, reloading.
INFO 2025-12-27 01:13:33,505 autoreload 43864 38916 Watching for file changes with StatReloader
WARNING 2025-12-27 01:14:33,766 log 43864 41048 Not Found: /
WARNING 2025-12-27 01:14:33,767 log 43864 41048 "GET / HTTP/1.1" 404 2503
INFO 2025-12-27 01:15:35,682 autoreload 16204 47268 Watching for file changes with StatReloader
WARNING 2025-12-27 01:15:37,856 log 16204 47400 Not Found: /
WARNING 2025-12-27 01:15:37,856 log 16204 47400 "GET / HTTP/1.1" 404 2503
WARNING 2025-12-27 01:15:38,223 log 16204 47400 Not Found: /favicon.ico
WARNING 2025-12-27 01:15:38,224 log 16204 47400 "GET /favicon.ico HTTP/1.1" 404 2554
WARNING 2025-12-27 01:15:50,226 log 16204 47400 Not Found: /
WARNING 2025-12-27 01:15:50,227 log 16204 47400 "GET / HTTP/1.1" 404 2503
INFO 2025-12-27 01:15:58,443 log 16204 47400 "GET /admin HTTP/1.1" 301 0
INFO 2025-12-27 01:15:58,452 log 16204 47400 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-12-27 01:15:58,518 log 16204 47400 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
INFO 2025-12-27 01:15:58,647 log 16204 34088 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-12-27 01:15:58,648 log 16204 47400 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2025-12-27 01:15:58,650 log 16204 34092 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2025-12-27 01:15:58,651 log 16204 34088 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-12-27 01:15:58,652 log 16204 47400 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-12-27 01:15:58,653 log 16204 34092 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16194
INFO 2025-12-27 01:15:58,654 log 16204 47400 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-12-27 02:03:41,992 autoreload 36792 43468 Watching for file changes with StatReloader
INFO 2025-12-27 02:04:37,425 autoreload 36292 37264 Watching for file changes with StatReloader
WARNING 2025-12-27 02:04:38,628 log 36292 8368 Not Found: /
WARNING 2025-12-27 02:04:38,629 log 36292 8368 "GET / HTTP/1.1" 404 2740
WARNING 2025-12-27 02:04:38,940 log 36292 8368 Not Found: /favicon.ico
WARNING 2025-12-27 02:04:38,941 log 36292 8368 "GET /favicon.ico HTTP/1.1" 404 2791
WARNING 2025-12-27 02:05:26,116 log 36292 39148 Forbidden: /api/positions/summary/
WARNING 2025-12-27 02:05:26,117 log 36292 39148 "GET /api/positions/summary/ HTTP/1.1" 403 58
WARNING 2025-12-27 02:05:26,122 log 36292 47868 Forbidden: /api/positions/summary/
