[INFO    ] 2026-01-01 20:22:44 | trading.services.sync.all_asset_prices | sync_from_yahoo_finance:168 | Synced 244 price records for 000001:xsec (Yahoo: 000001.SZ, Total days: 244)
[INFO    ] 2026-01-01 20:22:44 | trading.services.sync.all_asset_prices | sync_all_asset_price_history:286 | Price history sync completed: 1 synced, 0 failed, 244 total records
[INFO    ] 2026-01-01 20:28:16 | trading.services.sync.all_asset_prices | sync_from_yahoo_finance:168 | Synced 244 price records for 000002:xsec (Yahoo: 000002.SZ, Total days: 244)
[INFO    ] 2026-01-01 20:28:43 | trading.services.sync.all_asset_prices | sync_from_yahoo_finance:168 | Synced 23 price records for 000002:xsec (Yahoo: 000002.SZ, Total days: 244)
[INFO    ] 2026-01-01 20:28:58 | trading.services.sync.all_asset_prices | sync_from_yahoo_finance:168 | Synced 244 price records for 000002:xsec (Yahoo: 000002.SZ, Total days: 244)
[INFO    ] 2026-01-01 20:29:29 | trading.services.sync.all_asset_prices | sync_from_yahoo_finance:168 | Synced 244 price records for 000001:xsec (Yahoo: 000001.SZ, Total days: 244)
[INFO    ] 2026-01-01 20:30:54 | trading.sync.PositionSyncService | _log_start:77 | 🔄 Starting position sync for Saxo Bank
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | sync:77 | Retrieved 6 positions from SAXO
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _get_or_create_all_asset:416 | Found AllAsset by UIC 211: AAPL:xnas (was looking for UIC_211)
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:297 | Creating new position for UIC_211 (side=LONG, qty=1.0)
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:311 | Position 26 created successfully: AAPL:xnas LONG qty=1.0
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_positions:160 | Created position for UIC_211
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:284 | Updating existing position 25 for UIC_9580372 (side=LONG)
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:294 | Position 25 updated successfully: UIC_9580372 LONG qty=3.0
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_positions:163 | Updated position for UIC_9580372
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:284 | Updating existing position 21 for UIC_20088572 (side=LONG)
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:294 | Position 21 updated successfully: UIC_20088572 LONG qty=2.0
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_positions:163 | Updated position for UIC_20088572
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:284 | Updating existing position 22 for UIC_48172478 (side=LONG)
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:294 | Position 22 updated successfully: UIC_48172478 LONG qty=6.0
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_positions:163 | Updated position for UIC_48172478
[INFO    ] 2026-01-01 20:30:55 | trading.sync.PositionSyncService | _sync_single_position:284 | Updating existing position 23 for UIC_602 (side=LONG)
